Uuid,Void/Retire,Name,Description,Parent,Tags,IdentifierSourceName,Address 1,Address 2,Address 3,Address 4,Address 5,Address 6,City/Village,County/District,State/Province,Postal Code,Country,_order:1000
b0d550d9-5e45-431b-a458-5c995da1e05c,no,Mere PHCU,,,Visit Location;,,,,Lire Payam,,,,,Kajo-Keji County,Central Equatoria State,,,
d84b034e-331f-4073-93e7-5d7cf428f81d,no,Mereguga PHCU,,,Visit Location;,,,,Kangapo Two Payam,,,,,Kajo-Keji County,Central Equatoria State,,,
88ae4b82-8d95-4c6d-a1eb-4dbfd6f13521,no,Merlsland PHCU,,,Visit Location;,,,,Nyal Payam,,,,,Panyijar County,Unity State,,,
3363cc75-88ef-46eb-aa68-68e0ca72040a,no,Mideh PHCC,,,Visit Location;,,,,Witto Payam,,,,,Mundri East County,Western Equatoria State,,,
a5c37154-65c9-42e9-8541-e3d54efbbb2c,no,Mijak PHCU,,,Visit Location;,,,,Mijak Payam,,,,,Abyei County,Abyei Administrative Area,,,
02f6a308-2b3d-466f-91c9-708e135c5ce1,no,Mijiki PHCU,,,Visit Location;,,,,Tali Payam,,,,,Terekeka County,Central Equatoria State,,,
86362fbb-7206-46ec-83b0-1792dc33f60d,no,Mina PHCU,,,Visit Location;,,,,Tali Payam,,,,,Terekeka County,Central Equatoria State,,,
f2a8f916-9f7d-44d7-ab10-a80d38f9ad69,no,Ming PHCU,,,Visit Location;,,,,Biu Payam,,,,,Pariang County,Ruweng Administrative Area,,,
5985daf7-2e88-4625-906c-801f92cd1aa5,no,Minga PHCC,,,Visit Location;,,,,Minga Payam,,,,,Mundri East County,Western Equatoria State,,,
5cfc4670-423c-4253-9601-f354f9b984af,no,Minkaman PHCC,,,Visit Location;,,,,Puluk Payam,,,,,Awerial County,Lakes State,,,
bf808cc6-f458-437e-a50b-51562bd001c1,no,Minyori PHCU,,,Visit Location;,,,,Yei Town Payam,,,,,Yei County,Central Equatoria State,,,
b340ca55-a4fe-4085-8090-1e43b178e293,no,Miodol PHCC,,,Visit Location;,,,,Rumamer Payam,,,,,Abyei County,Abyei Administrative Area,,,
6d063b62-8d3a-4fb4-a3f1-d61d6652d412,no,Miriba PHCU,,,Visit Location;,,,,Witto Payam,,,,,Mundri East County,Western Equatoria State,,,
cbebecd4-b15c-4cef-82eb-0e4a180f77c7,no,Mirikio PHCC,,,Visit Location;,,,,Rokon Payam,,,,,Juba County,Central Equatoria State,,,
9e557baf-a95a-4d0e-aa7f-b5d109315284,no,Mirmir PHCC,,,Visit Location;,,,,Ngony Payam,,,,,Koch County,Unity State,,,
